shopid,itemname,price,stock
123,Frying Pan,143,24
123,Pizza,2000,190
123,Juice,913,35
124,Coffee,561,131
124,Gift Box,1668,190
124,Cricket Bat,732,50
124,Jacket,73,139
124,Keyboard,368,200
125,Smartphone,268,32
125,Juice,431,36
125,Perfume,919,19
125,Football,1321,173
125,Juice,1579,28
126,Jacket,1392,168
126,Cookies,1069,57
126,Pasta,1090,197
126,Sunglasses,1159,172
126,Frying Pan,140,12
127,Water Bottle,129,187
127,Laptop,568,170
127,Laptop,619,169
127,Smartwatch,1539,137
127,Pizza,1055,180
128,Plush Toy,1220,65
128,Toy Car,1179,148
128,T-Shirt,652,163
128,Smartwatch,549,34
128,Makeup Kit,1764,62
129,Smartphone,589,107
129,Frying Pan,1885,148
129,Hair Dryer,369,104
129,Coffee,1813,152
129,Pasta,125,127
130,Football,1878,66
130,T-Shirt,1593,169
130,Watch,1489,104
130,Keyboard,1784,176
130,Grocery Pack,966,24
131,Comics,863,172
131,Sneakers,1113,15
131,Cookies,68,143
131,Organic Honey,296,40
131,Plush Toy,1125,141
132,Sunglasses,616,176
132,Comics,208,191
132,Perfume,241,157
132,Backpack,147,189
132,Jeans,1690,103
133,Coffee,484,27
133,Jacket,1750,131
133,Keyboard,1636,100
133,Grocery Pack,256,186
133,Chocolate,673,93
134,Smartwatch,1435,183
134,Charger,101,199
134,Notebook,596,161
134,Grocery Pack,259,92
134,T-Shirt,1636,120
135,Cookies,523,157
135,Sneakers,539,45
135,Power Bank,899,51
135,Chocolate,1095,112
135,Action Figure,360,43
136,Keyboard,1902,200
136,Perfume,795,133
136,Power Bank,1311,112
136,T-Shirt,497,180
136,Sandwich,378,87
137,Organic Honey,168,180
137,Gaming Mouse,626,80
137,Comics,1769,36
137,Novel Book,1181,29
137,Football,136,68
138,Headphones,522,92
138,Coffee,1636,152
138,Power Bank,774,155
138,Lens Cleaner,1047,122
138,Toy Car,819,189
139,Smartwatch,1205,139
139,Necklace,592,152
139,Football,1166,62
139,Perfume,1876,149
139,T-Shirt,1913,25
140,Hair Dryer,631,167
140,Novel Book,229,184
140,Headphones,785,181
140,Smartwatch,782,173
140,Football,1374,96
141,Water Bottle,1439,138
141,Lens Cleaner,1728,114
141,Lens Cleaner,730,46
141,Perfume,1517,189
141,Sunglasses,1800,107
142,Toy Car,525,62
142,Sandwich,279,32
142,Grocery Pack,185,161
142,Action Figure,136,109
142,Headphones,481,15
143,Action Figure,1362,40
143,Juice,894,150
143,Sneakers,1120,156
143,Hair Dryer,1850,51
143,Jacket,1536,69
144,Coffee,1918,173
144,Gaming Mouse,1737,127
144,Water Bottle,1124,126
144,Makeup Kit,219,59
144,Action Figure,1226,118
145,Power Bank,1867,94
145,Camera,387,181
145,Frying Pan,1804,88
145,Tea,1390,42
145,Novel Book,550,76
146,Backpack,1711,48
146,Gift Box,773,142
146,USB Cable,1500,76
146,Action Figure,415,79
146,Comics,1123,82
147,Plush Toy,1878,22
147,Camera,736,143
147,Coffee,642,149
147,Watch,728,191
147,Sneakers,380,109
148,Backpack,824,126
148,Power Bank,1979,152
148,Headphones,878,133
148,Keyboard,1921,146
148,Smartphone,225,140
149,Water Bottle,1302,37
149,Gaming Mouse,1773,122
149,T-Shirt,1805,131
149,Smartwatch,211,140
149,Water Bottle,146,46
150,USB Cable,1037,87
150,Gift Box,787,121
150,Perfume,137,85
150,Sunglasses,1326,146
150,Lens Cleaner,2000,45
