id,footfall,cost,rating
129,784,203616,3.11
130,3735,161232,2.4
131,3215,457780,2.84
132,382,78448,3.17
133,2100,373327,1.97
134,1801,469021,2.16
135,3570,176930,3.39
136,1789,292038,3.85
137,2195,221973,4.08
138,4608,162111,3.72
139,3808,343926,4.99
140,1905,128316,4.16
141,3068,132191,2.27
142,105,214640,1.9
143,2038,142671,4.3
144,4533,277421,4.87
145,1462,479257,4.19
146,2560,212953,1.51
147,1011,370516,4.57
148,3439,39681,1.65
149,2184,376677,2.34
150,2317,202904,3.22
151,2452,298261,2.34
152,3587,272890,1.59
153,1208,493833,2.13
154,3832,19952,4.32
155,4469,191033,3.86
156,1130,173305,3.86
157,2319,355172,2.76
158,2164,375355,1.94
159,1773,216307,3.32
160,1630,248432,1.98
161,884,306259,3.95
162,1230,174090,1.17
163,1475,495849,2.08
164,3034,388451,2.74
165,4316,49807,1.26
166,4043,312948,3.66
167,4711,386785,3.05
168,1291,455152,2.3
169,4574,376092,2.31
170,2479,90866,1.72
171,570,386147,3.8
172,72,35267,3.75
173,1522,284185,3.95
174,4426,288925,4.46
175,308,96993,3.1
176,1875,16283,2.66
177,2378,256126,1.89
178,2871,332607,3.11
179,3827,131841,4.09
180,4347,127653,3.19
181,3046,60932,3.3
182,2690,203587,4.39
183,4235,240216,2.69
184,986,107638,3.3
185,4259,470107,2.75
186,1508,280382,3.77
187,2921,426094,4.46
188,4882,43042,2.08
189,3731,219863,1.35
190,127,7567,4.99
191,1975,79480,3.9
192,1359,220471,4.23
193,416,412359,2.66
194,1111,264586,2.53
195,2924,495378,3.24
196,3158,219335,3.52
197,2597,29844,3.97
198,3155,230343,4.18
199,2383,472549,1.85
200,4295,462547,4.93
201,544,117465,1.57
202,634,302502,4.18
203,4908,288386,1.96
204,749,144702,3.06
205,719,113083,4.28
206,543,211795,1.15
207,1385,384980,1.34
208,4086,124592,2.9
209,3322,13798,3.14
210,835,101085,4.12
211,3255,98774,3.68
212,2353,205743,3.81
213,2581,10504,2.04
214,529,220922,4.37
215,745,57202,1.83
216,4952,171201,4.87
217,1143,422716,2.95
218,3071,276851,1.32
219,2780,79002,1.99
220,274,481554,1.17
221,4200,438863,1.72
222,1497,368414,1.06
223,2014,456022,2.2
224,2040,112205,4.25
225,3484,240724,3.58
226,1191,270673,4.15
227,2436,237216,2.91
228,2024,432702,2.62
229,1149,28501,2.19
230,4604,249142,2.32
231,2968,279369,4.88
232,4311,136799,4.23
233,3667,155258,4.94
234,1250,480826,2.01
235,300,397749,4.38
236,4882,236551,2.6
237,3994,100963,4.67
238,4374,421604,1.2
239,3332,415183,4.89
240,2785,229512,2.17
241,4386,105560,2.16
242,2199,379821,3.74
243,4052,67407,3.65
244,1299,413028,3.98
245,1133,374334,2.36
246,1985,57852,3.24
247,1771,171356,3.01
248,4896,172128,4.56
249,3729,467854,1.99
250,4730,395364,1.75
251,2849,168287,1.69
252,1628,494494,1.59
253,1226,238362,1.83
254,3001,224998,3.99
255,2521,213808,2.0
256,1745,440409,1.64
257,4030,201238,2.53
258,2437,114912,2.5
259,4179,159001,4.17
260,3024,356107,3.92
261,2217,382850,3.98
262,4957,362224,1.78
263,3096,209731,1.64
264,1541,63769,1.46
265,1955,408683,4.96
266,1682,458318,3.17
267,3105,187472,2.12
268,1240,176527,3.58
269,3034,286780,3.61
270,3408,389981,1.24
271,4088,416454,3.98
272,3495,133476,1.94
273,4586,460939,2.9
274,1932,174796,3.99
275,1541,194507,4.33
276,4375,478392,4.32
277,2693,39203,3.0
278,2058,454200,1.21
279,4041,270959,3.02
280,4377,242055,2.61
281,806,148298,2.41
282,1225,263468,3.23
283,2650,54522,4.41
284,1924,145095,2.52
285,2924,370084,4.94
286,1069,193803,4.28
287,4228,158313,4.92
288,1715,260375,2.32
289,2767,66926,1.86
290,4343,89182,3.19
291,2823,385783,3.48
292,3236,389517,2.92
293,1485,351210,2.29
294,2123,471072,1.9
295,3007,20846,3.87
296,899,255053,3.28
297,2593,476323,3.57
298,2751,211386,2.78
299,3204,198906,4.28
300,2023,97888,1.63
301,463,438248,2.78
302,2539,277186,4.76
303,3136,45126,1.57
304,1466,465850,2.53
305,2564,400924,3.56
306,4082,344394,4.0
307,204,80323,3.47
308,1581,376679,1.98
309,2067,274355,2.68
310,201,219307,4.06
311,405,478412,1.47
312,824,433435,1.77
313,3237,434837,2.89
314,1453,207198,1.45
315,1341,39446,3.67
316,1118,496984,4.04
317,2855,106934,1.04
318,4118,6699,3.34
319,3101,159579,3.94
320,826,459215,3.18
321,3597,248528,3.72
322,2595,155856,3.68
323,1124,130971,1.05
324,2589,319529,4.25
325,2537,151926,4.36
326,1703,159991,2.05
327,4916,407363,3.02
328,622,146177,3.51
329,747,81870,1.76
330,4847,392370,1.48
331,1546,39376,1.58
332,2523,79965,4.5
333,4586,209044,2.45
334,2313,486474,4.32
335,1067,422338,4.05
336,3724,456083,2.67
337,2881,260030,2.5
338,1057,435598,3.89
339,4450,316105,4.08
340,3194,257943,1.74
341,4472,98275,2.89
342,114,51310,2.04
343,2112,155518,2.48
344,1669,295491,3.49
345,2871,491192,4.48
346,2758,440950,1.33
347,684,133100,4.32
348,1410,204038,2.17
349,1364,371673,3.27
350,1297,174214,4.53
351,3352,146338,4.04
352,109,237023,1.25
353,4171,324482,3.11
354,1471,158514,3.28
355,4018,399384,4.45
356,4975,216715,3.76
357,4738,276074,1.19
358,1754,129182,2.21
359,4148,10667,4.23
360,3760,447351,1.57
361,3624,339071,4.37
362,578,11223,3.16
363,3999,299624,4.05
364,2487,297047,2.93
365,847,117351,2.8
366,3505,26580,4.82
367,68,11630,4.16
368,1591,260956,3.64
369,1657,304122,1.26
370,4246,62456,4.19
371,2474,481037,4.56
372,185,286547,2.01
373,3373,363069,3.87
374,1860,26366,4.8
375,2644,373473,1.09
376,4408,167911,4.12
377,4320,115134,2.09
378,1088,40322,1.76
379,2875,488495,3.39
380,4640,37840,1.69
381,3305,340480,1.47
382,3707,327051,3.17
383,2788,11984,2.79
384,3541,449445,4.44
385,3090,473031,4.21
386,3789,378358,4.55
387,2146,485106,1.37
388,1750,19462,1.74
389,305,260724,4.14
390,193,452008,3.0
391,2186,439513,3.34
392,2993,87279,4.06
393,2002,414275,1.99
394,632,339209,1.64
395,2506,368877,3.58
396,4762,164499,4.18
397,3872,454113,4.42
398,410,187806,4.29
399,638,194466,3.18
400,714,17458,2.32
401,334,409182,3.63
402,3737,175737,3.33
403,4432,424982,3.14
404,2945,131135,1.41
405,473,473777,4.58
406,4757,362899,2.55
407,2405,232469,3.52
408,2794,315621,3.82
409,3837,50131,3.0
410,554,427912,3.21
411,592,445699,3.17
412,4058,382175,1.41
413,885,391294,4.89
414,3094,444314,2.68
415,2197,30685,4.05
416,1917,273482,2.2
417,4146,356958,1.9
418,834,210901,4.2
419,1175,118486,3.28
420,1880,284507,1.18
421,3126,226016,4.14
422,3953,367664,2.93
423,2579,254738,2.91
424,85,310973,2.29
425,2091,424441,1.25
426,3031,384262,3.11
427,2275,150505,2.74
428,2391,100544,4.73
429,1935,259723,2.36
430,1086,392313,3.63
431,4389,361321,1.52
432,197,129133,1.82
433,4515,213904,3.02
434,3228,222702,4.54
435,316,126203,4.04
436,4593,415114,2.94
437,2173,129001,2.6
438,2603,383947,4.24
439,2012,401830,3.96
440,1714,320828,1.94
441,2521,7168,3.4
442,3496,20244,1.48
443,3487,232023,2.61
444,1631,277542,1.91
445,3778,92828,3.99
446,1185,421555,2.65
447,3945,379934,4.25
448,2871,260436,2.37
449,2357,168870,3.85
450,819,6030,1.34
451,3063,490475,4.6
452,1488,30279,2.11
453,1870,193207,3.8
454,1649,386527,1.7
455,4554,48613,1.49
456,4542,394095,4.11
457,458,356033,3.52
458,225,171034,4.92
459,690,121810,1.98
460,2651,346929,2.6
461,4571,451615,1.82
462,3871,469639,3.02
463,4825,200628,1.39
464,2180,16286,2.89
465,2239,6490,2.23
466,3423,376304,1.68
467,2426,485831,3.5
468,4554,9855,3.66
469,103,229638,4.07
470,3818,327499,2.37
471,4667,22045,2.62
472,3888,332078,1.99
473,1947,344259,2.56
474,4115,427623,4.46
475,3433,470383,3.97
476,2484,344053,2.64
477,4168,23357,1.7
478,3897,200638,4.29
479,1415,254225,1.23
480,2077,81770,4.69
481,4571,175893,4.68
482,2415,476013,1.18
483,3192,124466,2.57
484,962,161887,3.86
485,4365,435113,4.56
486,4896,120382,1.2
487,1512,349732,3.94
488,3011,397283,1.63
489,3470,256502,3.93
490,4866,333345,4.84
491,1041,285473,1.41
492,839,418371,2.13
493,4491,57252,4.82
494,4441,221627,1.88
495,4589,440842,3.68
496,1601,235425,2.86
497,4012,74640,3.52
498,2893,192611,2.3
499,4711,159174,1.98
500,1435,82902,3.69
501,3141,463742,4.05
502,3906,204557,1.57
503,2896,278419,2.35
504,97,485930,1.67
505,3238,497100,3.41
506,4567,322752,4.36
507,2120,129923,4.34
508,3710,145045,3.99
509,711,237524,1.14
510,604,309241,3.52
511,3574,124559,2.38
512,3386,198024,3.87
513,4333,86874,1.56
514,2014,499224,2.87
515,1535,126687,2.35
516,676,350491,4.24
517,4864,254793,4.86
518,3089,348144,1.02
519,2799,50153,1.62
520,1560,318955,4.83
521,750,358518,2.29
522,1772,395838,3.55
523,2196,251491,3.1
524,667,362798,4.81
525,3466,221328,4.59
526,1656,190796,4.65
527,3311,182273,3.87
528,2615,102408,4.29
529,1257,316587,3.26
530,3075,262558,2.11
531,3585,415321,3.85
532,1336,268323,3.18
533,2716,67296,1.03
534,4680,243908,4.93
535,1458,200651,4.08
536,1105,49628,3.58
537,1477,39397,4.96
538,3351,126487,4.48
539,3861,344858,1.66
540,1623,260260,2.37
541,3156,110490,4.31
542,2443,218637,4.59
543,2837,187990,2.67
544,3328,439608,4.04
545,1300,400083,4.35
546,2926,118441,1.96
547,950,126173,1.73
548,3106,391034,4.41
549,2122,47394,2.48
550,3338,239655,2.26
551,4294,147506,1.61
552,4297,333258,4.71
553,2672,341130,1.5
554,3623,290713,3.95
555,1658,314034,1.2
556,955,166882,2.0
557,4893,29566,3.63
558,4961,490728,4.93
559,3958,480805,2.5
560,2210,400534,1.6
561,621,370981,2.78
562,4387,370560,2.76
563,2113,439539,2.0
564,762,348797,1.48
565,1530,447261,4.94
566,4069,365571,2.72
567,2475,171245,4.02
568,346,321454,1.39
569,376,420486,4.44
570,3898,23269,2.34
571,912,390396,2.21
572,3064,396744,2.0
573,2595,139870,1.54
574,1589,61073,4.98
575,531,291674,2.05
576,4188,432403,1.05
577,2206,377070,2.88
578,1553,208483,3.78
579,4011,40202,3.28
580,4460,429234,3.9
581,3506,95649,4.95
582,509,246674,2.89
583,2758,209952,4.89
584,1809,276938,4.19
585,885,283500,1.57
586,3688,494851,1.42
587,4907,36525,3.38
588,2986,220651,1.31
589,2779,190949,1.94
590,255,199473,2.25
591,1524,109983,3.11
592,378,395861,4.36
593,1221,471515,3.55
594,2072,44311,4.17
595,4162,123466,3.76
596,1225,325393,3.02
597,1549,222039,3.86
598,1084,161282,3.38
599,2775,180637,3.5
600,3129,288710,3.46
601,1730,154857,1.62
602,4847,135266,2.75
603,4060,413181,2.98
604,2415,84036,4.92
605,82,474892,2.91
606,2345,482658,4.26
607,2655,341847,3.01
608,2510,359565,4.98
609,1145,244042,2.1
610,4407,150191,3.34
611,900,414331,3.13
612,502,316441,4.69
613,1529,163564,4.15
614,111,219542,1.06
615,2068,380760,3.93
616,1845,230541,3.14
617,1680,377914,3.93
618,3275,194766,2.48
619,56,499842,2.33
620,1115,358157,2.93
621,155,47218,4.17
622,4055,281784,2.39
623,3359,370979,3.7
624,371,73473,1.91
625,874,144640,4.94
626,2828,179188,1.48
627,1074,165991,4.72
628,3014,164131,1.98
629,2179,72424,2.4
630,2788,361159,1.09
631,1082,97246,3.69
632,4764,104763,1.15
633,3220,335176,4.64
634,3989,353906,4.94
635,3608,249797,4.33
636,1045,471112,3.74
637,4361,180767,1.71
638,4562,299406,4.36
639,2361,80748,2.3
640,2545,386710,1.3
641,1033,147412,4.18
642,1492,60576,3.47
643,1651,176260,1.28
644,432,101248,1.85
645,3766,369513,1.17
646,3060,245878,2.66
647,3235,303721,2.58
648,4292,265408,2.57
649,2873,19218,1.78
650,1822,287692,4.16
651,537,154618,4.39
652,568,315402,2.04
653,1593,214891,3.21
654,4390,188907,3.61
655,983,35276,3.9
656,2356,286541,1.82
657,89,477216,2.78
658,4061,466233,3.74
659,1998,57023,4.44
660,260,268543,2.3
661,740,116074,1.5
662,671,395917,1.27
663,2976,167731,3.48
664,238,340327,2.01
665,1058,163579,3.29
666,3440,284670,3.45
667,1649,44027,1.75
668,1636,200532,3.38
669,3308,333688,2.15
670,2369,297089,1.99
671,1409,167167,4.06
672,2946,105647,3.32
673,1329,20403,2.98
674,3747,239806,1.09
675,3357,14738,4.48
676,4051,372409,3.29
677,3057,216919,3.13
678,4266,397145,1.78
679,148,157492,1.99
680,3598,45227,2.74
681,1062,463920,4.37
682,3410,90299,3.25
683,771,406954,1.21
684,4476,440170,1.93
685,1148,328036,3.98
686,2234,477071,3.96
687,282,497539,1.44
688,1937,53489,3.28
689,4361,260414,2.5
690,1745,411372,4.26
691,4205,49310,4.66
692,1692,6215,2.58
693,1115,385862,3.99
694,2357,84619,3.42
695,2857,296332,1.25
696,2539,417853,4.53
697,1310,281848,1.33
698,492,233573,2.53
699,4464,158937,3.84
700,2499,19001,2.26
701,2043,467135,1.74
702,855,305180,4.76
703,4899,463511,3.75
704,4395,478345,4.95
705,4255,10337,3.02
706,2448,116679,1.69
707,1595,95416,1.46
708,4431,365981,1.82
709,3186,276697,4.09
710,3092,25580,1.29
711,1010,6229,3.0
712,2068,222667,4.1
713,926,102612,1.49
714,4822,65475,1.31
715,545,148010,2.71
716,4811,251807,3.79
717,1253,289767,3.72
718,4924,473092,4.19
719,3881,240576,4.68
720,3031,305164,2.65
721,1648,168666,1.61
722,1712,204572,3.94
723,3524,153381,1.81
724,465,63324,1.89
725,2833,379827,4.9
726,337,449763,1.84
727,4420,65453,3.42
728,2654,492712,4.31
729,194,9762,3.32
730,798,461430,2.72
731,3790,284986,3.99
732,3892,310813,1.71
733,1244,139732,4.1
734,4140,403106,1.79
735,1141,418001,2.87
736,4887,410851,1.8
737,2214,308372,2.67
738,4910,331231,3.78
739,3909,14173,2.45
740,1056,115560,2.64
741,4141,288078,1.82
742,4719,16165,4.35
743,2619,409480,1.03
744,3398,214132,1.37
745,1845,43948,4.0
746,1547,167641,3.25
747,674,178278,2.06
748,1538,406349,1.61
749,3834,236420,2.76
750,273,42542,2.91
751,4444,122050,1.08
752,572,351537,1.29
753,4630,281729,4.27
754,3345,35601,1.33
755,1189,273253,3.59
756,1225,158451,4.57
757,563,461770,4.17
758,2975,390402,4.46
759,910,185498,3.19
760,2130,400648,1.73
761,1967,68924,1.9
762,1661,41229,4.58
763,4525,391425,4.29
764,1399,140924,3.58
765,251,328326,4.9
766,1413,85726,4.21
767,2932,471861,1.73
768,2608,443084,1.43
769,1177,147120,3.17
770,4344,329494,4.34
771,3731,153865,1.51
772,1656,65337,2.22
773,2842,443436,3.08
774,2607,147754,3.14
775,332,152923,1.31
776,167,308285,1.4
777,3225,174903,4.38
778,463,144011,2.24
779,1322,403420,2.02
780,2368,222634,4.68
781,4449,387289,4.09
782,4990,152839,3.22
783,4493,97168,2.29
784,2868,229133,2.17
785,4891,209460,1.4
786,2656,489167,3.15
787,600,304956,2.61
788,4650,361977,1.95
789,1202,472756,1.03
790,654,471165,3.03
791,2091,338081,1.1
792,858,488125,4.07
793,1504,41393,3.56
794,296,32160,1.49
795,364,69003,3.79
796,4878,399830,1.95
797,755,36848,3.15
798,717,370438,3.48
799,4616,224772,4.2
800,3695,441733,3.87
801,4219,174603,4.38
802,2656,444980,1.69
803,824,225964,3.39
804,4841,267419,4.09
805,2166,87888,4.43
806,1787,424793,4.7
807,4345,208291,2.45
808,2896,316834,4.83
809,1479,213436,4.22
810,1006,244942,3.48
811,3526,439537,1.05
812,1286,99366,2.52
813,1400,348130,1.33
814,4094,136194,1.23
815,832,269214,1.91
816,1843,484508,2.53
817,2121,344977,1.64
818,1821,28125,3.15
819,3412,429554,3.94
820,2734,451359,3.94
821,3521,322034,3.97
822,4106,78208,3.63
823,544,212737,1.58
824,3446,385217,1.83
825,4510,35815,4.01
826,1102,296194,2.65
827,4981,442485,2.24
828,1481,298931,2.01
829,1101,119982,2.42
830,3521,214738,4.75
831,727,240492,3.87
832,132,393966,2.04
833,924,171830,4.35
834,3874,280119,3.32
835,233,335821,2.46
836,480,486689,4.19
837,1983,116491,1.04
838,4806,311508,1.32
839,2141,453370,1.58
840,1380,78254,4.46
841,2860,291653,3.42
842,3053,55469,1.6
843,138,282226,1.82
844,3493,276012,3.77
845,1325,30223,1.72
846,1959,470688,2.38
847,1258,5293,3.66
848,1261,176287,3.71
849,2733,95087,1.61
850,2218,88396,2.59
851,3498,478979,2.28
852,3048,21366,2.99
853,4385,143035,4.99
854,4651,89669,2.95
855,2098,307874,4.01
856,3523,311551,4.41
857,3346,408733,3.29
858,2258,122514,4.31
859,2557,7607,2.34
860,2372,400222,2.34
861,4121,397110,2.98
862,639,113824,4.23
863,4831,238275,2.78
864,438,60217,2.26
865,1130,138996,4.1
866,676,218126,3.04
867,286,222111,1.84
868,3551,499145,1.87
869,248,209060,3.04
870,805,438448,3.65
871,234,145049,4.94
872,1864,227341,2.23
873,3626,126967,3.25
874,4247,256384,3.12
875,3790,34300,2.72
876,2513,58756,4.95
877,135,396860,1.75
878,1457,393690,3.9
879,1247,212008,4.16
880,884,470159,1.25
881,1761,116609,3.86
882,3486,362262,1.25
883,1016,274473,4.67
884,4948,135215,3.78
885,104,377538,3.13
886,1177,21907,3.73
887,590,37092,2.31
888,3465,257372,1.21
889,4889,368969,2.34
890,2931,437270,3.01
891,1206,223162,2.68
892,3712,240612,4.73
893,2204,102846,2.5
894,1920,122510,3.92
895,3486,339764,4.34
896,2687,293499,2.08
897,1588,296343,2.97
898,210,292949,1.79
899,3042,115506,4.05
900,962,373955,3.58
901,4961,489098,3.87
902,2694,213056,1.74
903,3473,75938,2.44
904,274,410442,4.05
905,2571,194181,4.19
906,2783,197293,4.93
907,1466,261530,3.72
908,1918,274260,2.61
909,763,19071,4.45
910,3834,390073,1.79
911,3020,462153,3.75
912,3050,405180,2.24
913,980,350830,2.92
914,3350,251974,1.67
915,4474,147626,1.14
916,2041,115447,4.02
917,4002,429907,1.61
918,497,369741,4.23
919,2936,300474,3.51
920,4859,168626,4.49
921,1252,417956,2.38
922,1291,38104,4.61
923,598,140993,4.95
924,4568,412275,1.72
925,2737,448590,4.8
926,2920,305473,1.32
927,2057,189607,4.04
928,3941,51769,4.3
929,1013,108009,4.94
930,681,193793,4.84
931,1566,425624,1.67
932,1156,178412,3.41
933,2897,389846,2.5
934,800,381978,4.89
935,4215,367418,2.39
936,2624,151701,1.52
937,3299,431153,1.3
938,3633,349590,1.48
939,3037,493160,2.88
940,596,273326,2.49
941,3836,472396,1.04
942,2631,398670,3.51
943,4931,358541,1.44
944,2216,336447,2.41
945,1841,316235,3.94
946,3895,207748,3.76
947,1132,490987,3.71
948,4688,228612,4.22
949,1169,78048,4.71
950,1169,49406,4.89
951,4751,307506,1.58
952,2603,231421,3.7
953,2629,125469,1.32
954,2637,311448,1.21
955,1841,448558,4.42
956,2741,414259,3.24
957,3826,14992,1.21
958,3631,66698,4.24
959,1314,242104,3.56
960,506,405069,1.73
961,2926,207260,3.58
962,1656,270636,1.54
963,1914,157539,3.05
964,1934,397645,2.1
965,3951,101638,3.45
966,4976,487014,4.04
967,4858,158719,3.47
968,4869,39461,4.09
969,3907,389611,2.63
970,4732,231400,2.22
971,2402,139980,2.46
972,821,121681,4.28
973,2014,189538,1.26
974,4614,195502,1.03
975,159,449723,3.11
976,354,276728,3.01
977,4569,188058,3.6
978,3399,205291,2.3
979,2978,446404,1.74
980,4716,428300,2.19
981,526,20775,2.74
982,1166,84661,3.6
983,3229,480728,3.01
984,56,390885,2.78
985,1035,194457,4.92
986,3005,216492,3.64
987,3240,213805,1.91
988,1703,142496,2.87
989,3695,428852,1.1
990,4920,296253,3.97
991,1767,142964,4.45
992,1331,71842,4.48
993,3309,220863,1.68
994,4570,226290,1.5
995,231,95508,4.33
996,2550,158595,2.37
997,3550,396388,2.08
998,2045,437192,1.29
999,2293,376968,1.52
1000,912,438674,4.83
